9027,205,200,58.23241,61.13476,69.08517,45.35961,3853.723,4308.757,4365.267,2945.533,53.24612,4840.879,False
20438,239,453,62.67673,61.60725,68.29408,58.96456,4178.169,3844.388,3878.1,4867.73,91.05773,11418.27,False
884,152,48,199.4199,437.3583,100.7111,86.77966,12678.12,26861.37,6169.87,6693.527,176.9703,11359.63,True
1225,112,52,124.7276,281.6729,73.07662,19.43328,7837.34,18041.2,4477.967,992.8505,139.5303,9139.832,False
740,57,41,92.04842,213.5138,33.8352,35.87687,6514.804,15659.03,1940.823,2445.701,136.0276,11639.75,True
1673,187,67,179.3338,290.6719,166.5144,80.8149,11766.96,19262.11,10210.62,5828.16,136.2796,10378.44,True
1040,50,52,56.1604,80.26073,62.76236,25.45811,3699.142,5795.945,3697.122,1604.358,61.12906,5242.674,True
2167,238,123,117.0786,126.9309,147.7422,82.4167,7293.549,7658.326,9500.906,5086.093,84.5926,5737.203,True
2689,129,97,76.96246,121.8514,59.08709,49.94896,4764.085,7313.91,3344.78,3633.565,78.2632,5429.426,False
2352,35,44,47.42986,47.20124,53.43362,45.04257,2824.898,2634.309,3098.967,2943.197,40.98438,3071.159,False
3453,84,106,48.07024,60.07842,54.04236,30.08992,3663.252,4618.47,4153.638,2217.649,53.69595,6087.068,False
716,39,38,69.02067,126.2868,41.45617,45.0708,4157.587,7684.482,2422.055,2712.688,59.4889,3662.919,True
588,196,26,460.0851,959.7937,470.578,7.394147,27369.81,56592.78,28656.16,281.721,375.2907,22548.82,True
1700,111,54,248.0674,383.5997,309.6163,80.17055,15260.47,23494.23,18988.47,5094.07,209.9025,13685.53,True
436,233,25,578.0546,715.9722,709.9195,308.2721,34847.47,43312.62,42649.94,18579.85,288.0098,17947.94,True
7635,132,114,75.23123,39.83038,81.31095,108.6189,5713.897,2538.749,6776.673,8135.129,122.9354,12330.15,False
938,73,42,113.1456,278.6589,39.2898,38.89517,7629.514,18663.62,3160.096,2238.591,183.9218,12813.39,True
865,150,38,252.647,614.7991,134.8539,29.34202,15765.96,37785.29,9149.561,1676.871,321.0675,20316.28,True
871,61,26,111.5765,301.4068,7.821106,39.44865,6579.927,17809.82,434.2794,2318.168,214.0869,11589.24,True
1208,236,60,236.4164,498.5349,137.2524,98.34771,14430.23,30156.55,8164.323,6488.791,207.9548,12608.32,True
1024,230,46,393.5854,846.3294,281.8279,52.5989,24427.57,52906.09,17238.51,3138.122,377.9468,23226.43,True
811,55,31,112.9761,192.6225,109.5561,36.74974,7457.26,12637.44,6452.798,3281.541,89.05971,6538.634,True
1338,226,53,254.1327,542.5736,203.8399,30.93363,15250.67,32438.13,12444.3,1766.66,272.4162,16576.89,True
1037,97,43,146.7009,355.093,70.34303,14.66661,8799.325,21425.24,4192.749,779.9887,186.0701,11347.93,True
1338,99,50,118.5887,289.739,42.70777,30.73093,7014.665,17103.04,2419.89,1959.484,180.6581,10809.3,True
1160,52,52,65.17591,132.8864,39.98838,22.65296,4018.657,8465.495,2375.96,1214.517,71.77727,4576.805,True
1256,151,51,181.4854,315.7767,212.4941,38.87116,11537.15,20999.88,12775.02,2278.677,160.8352,11177.97,True
863,64,38,118.9767,220.9432,110.7026,35.19909,7392.031,13676.67,6696.31,2419.114,110.1685,6928.096,True
734,134,32,260.0952,492.1685,274.6475,39.4789,15892.27,29344.74,16501.67,3419.63,213.7551,12691.83,True
691,130,35,226.0422,462.9382,189.5472,46.19044,14037.31,27779.31,12851.42,2757.322,217.0719,14112.83,True
1144,103,49,120.9299,269.6487,64.61908,28.52204,7350.732,16634.82,3949.422,1467.951,121.2631,7496.574,False
627,51,34,94.05791,175.6907,68.61366,37.86934,6529.222,11731.1,5360.889,2495.682,80.8392,6629.166,True
1189,115,53,124.2737,258.6073,82.16524,39.35884,7432.644,15611.5,4890.748,2232.901,124.454,7503.675,True
1055,229,42,324.5312,472.7365,336.2977,214.4874,19578.83,28445.21,20576.5,12726.91,214.9847,13735.54,True
833,125,27,284.5421,450.8301,258.1801,215.7516,17159.08,27264.61,15719.43,12782.98,187.7587,11683.76,True
1910,191,63,176.2706,370.2819,162.7324,13.42467,10540.17,22434.66,9673.568,566.2848,202.7062,12313.34,True
1328,212,63,210.1754,418.6765,165.7903,67.07692,13890.33,25537.14,13208.88,4314.001,176.9722,13854.78,True
210,36,14,172.4588,398.722,84.33845,77.43056,10840.82,25664.75,4755.503,4812.403,141.1515,8874.413,True
822,39,33,66.32161,163.1797,16.35101,32.69844,3839.106,9688.644,802.5728,1793.924,81.63517,5102.752,True
1047,176,50,213.2859,434.6834,201.1861,17.31856,13027.43,26651.74,12022.36,1222.418,228.6716,14112.95,False
1198,114,36,208.117,393.9286,237.2125,31.0492,12593.67,23852.76,14334.71,1883.283,206.3471,12866.39,True
2502,131,92,82.52532,97.26422,103.3983,49.6643,5117.276,5807.084,6546.645,3168.675,76.66104,5078.508,True
1936,173,73,132.5524,248.4126,122.746,26.4985,7805.23,14945.51,7131.499,1338.684,130.824,8109.618,True
1189,48,31,80.65018,188.0147,41.65627,12.27957,4865.588,11090.02,2745.25,761.4957,84.92045,5118.832,True
4556,186,174,591.1073,349.8124,885.1445,559.1057,36461.58,21214.89,53595.02,35854.18,713.3749,46038.56,True
449,47,26,101.1831,189.7672,84.64912,41.78099,6305.539,11588.38,5482.264,2634.168,81.44147,5197.587,True
5825,109,276,771.0245,710.5526,796.5087,822.9578,47884.02,44534.02,49327.4,50843.04,871.0899,55822.41,True
4585,45,186,138.6607,179.8215,130.8839,109.8229,8708.329,10769.2,8355.215,7286.088,155.3195,9972.491,True
1505,45,35,64.98966,78.03151,84.69947,38.14617,3740.333,4469.472,4945.945,2145.613,53.36907,3396.247,True
3420,51,70,35.67719,39.21428,37.91915,29.89815,2426.016,2306.24,2610.127,2361.682,44.63556,4470.224,True
8001,146,178,45.9822,60.73697,38.61049,38.59914,3536.348,4607.261,3083.753,2918.029,52.85212,5951.81,False
