sumtime,abscissa,total,meanv,meanv1,meanv2,meanv3,meana,meana1,meana2,meana3,standardv,standarda,label
1209,150,51,147.1464400881,315.1399101307,121.5999941643,23.0927209802,9143.5473217633,20397.1600299297,7215.8289803530,960.5963702275,211.2560686588,13916.0393065096,0
1379,120,64,113.3435393129,137.7345382597,126.4480646060,75.8480150731,6986.0837440325,8574.2435850261,7651.0259339535,4732.9817131179,75.3715864836,4947.3775792512,1
823,126,32,245.4328114432,579.1456582633,138.5947712418,43.1012859689,17182.3360824228,42055.8120306946,8565.6184587125,2643.8113661037,246.5745156312,23527.0978200122,1
961,239,46,313.8456714257,816.0918264169,97.9618736383,27.4833142220,19364.9486456196,50637.0142180690,5871.3208772979,1586.5108414918,456.6015043129,27885.1694573096,1
987,39,48,142.9735239497,347.5565610860,56.2745098039,44.1526374860,9294.3756216442,20997.7741454319,3404.9457473621,4719.6570550246,178.3040743693,11801.2408971975,0
402,109,21,325.5065359477,640.9313725490,243.1372549020,200.9531590414,19867.9407492845,39446.4669037550,14825.0672818147,11954.9349787119,192.6731409082,11492.6759089307,1
1294,163,36,275.3943161119,587.5384864690,214.7477092911,73.9684464143,16864.5392637322,36239.4453172714,13068.1227200447,4352.3296200136,266.0117199891,16031.3500707066,1
401,131,23,94.5002610778,226.9996887644,30.0342359166,39.9668958492,5696.5023159344,14001.9283554623,1625.5110129261,2275.8536245482,106.5805420827,6931.6965345600,0
751,78,36,131.1423235961,248.6333927510,127.2546897547,41.3829471182,8285.7511077883,15142.3864752873,8716.4337536361,2504.9332958575,118.3594620518,7547.6473507143,1
551,42,20,115.9261261206,301.1301742919,53.0127963277,12.9564287624,6737.7234019713,18166.9521248950,2913.2781140666,255.8938672809,119.5433636304,7433.0372696716,1
876,110,31,207.6977124183,412.7777777778,185.6617647059,24.6535947712,12446.8373084528,24998.6448283017,11128.0817474048,1213.7853496518,167.0670486840,10559.3170952406,1
969,91,65,182.2085841068,349.4176458462,175.1133786848,30.7713270326,25898.8039600811,50535.7914406307,25638.2275132275,2755.6693054367,178.3926523522,28309.0086444194,1
