sumtime,abscissa,total,meanv,meanv1,meanv2,meanv3,meana,meana1,meana2,meana3,standardv,standarda,label
248,194,16,768.5457516340,1490.1960784314,657.3529411765,158.0882352941,46465.2684330813,90463.6037421504,39311.2024221453,9620.9991349481,441.8952629121,26563.5972505053,1
313,92,16,159.2814023495,425.9896933132,22.8758169935,28.9786967419,10122.2519803253,27396.2001285476,1309.3254731086,1661.2303393195,188.0224755196,12868.5474903870,0
781,55,39,64.9289898568,127.6761143054,50.1763668430,27.7559867314,4220.8160037460,7866.7547141926,3954.9098102890,1544.2528207140,62.1273764956,4644.9732544881,0
1932,129,67,252.5648107360,375.5861634925,281.1104103646,100.9978583508,16200.6404699284,23288.6977864672,18514.8530384164,6798.3705849016,274.5593367696,19175.5931477472,1
838,153,38,243.4845024768,512.9802652055,207.5844226580,30.1791947733,16073.7652741539,35677.7976176479,12326.6836918137,1556.2949525128,214.9168421700,19209.7733832665,1
893,100,41,120.8817015655,266.8237807944,73.3408748115,31.7790415187,7991.4663368427,18197.6201009145,4378.3240420351,2013.1830473355,161.8892492407,12137.3734390634,0
1128,188,52,221.4891877504,477.3417106781,158.7946943483,28.3311582247,14677.3648272894,32649.2007274165,9549.5581450573,1833.3356093945,254.5419833245,20915.3473947481,1
2139,150,31,72.9961896304,89.2673898064,61.0350392694,68.6861398154,1124.1052156109,1399.8988949805,853.5059946832,1118.9107571689,16.6617761629,509.4187113969,0
510,68,29,259.5296451914,534.7222222222,205.2469135802,67.4564270153,15698.2584664699,32465.6489057611,12270.6618655693,4102.7155687983,243.2956597310,14297.9415266626,0
327,70,17,246.3648231032,711.3888888889,68.7091503268,8.2693947144,17785.0200295355,52798.2253086420,3942.4273249605,171.4114609111,300.4526286857,27596.7366626596,1
492,52,23,133.2531194296,216.7950513539,165.1844070962,36.8160597572,9044.6647122902,16248.3532356298,10079.0113158553,2098.7245442839,118.2694410151,10512.3830975471,1
1499,136,21,96.6958601973,119.1489924097,82.3798249116,120.7907166698,1486.1025005913,1564.2658442566,1240.0023992021,2149.4067585122,32.0527335033,857.3017546998,0
943,62,32,102.0504626972,152.8153261305,143.4722222222,20.0688860088,6096.4737016526,9347.4565343678,8608.9891975309,942.6227432245,137.0837133982,8722.4840953480,1
1067,234,44,327.3121161173,804.8646292648,128.9469954649,71.5041604877,20555.8936108581,51118.1583343571,7855.7734684482,4162.0271448302,447.2591933207,29329.1598509855,1
1145,106,19,95.3934933732,137.8871423938,79.9558272831,68.3375104428,1664.8409539824,2463.2299355893,1321.5154891699,1209.7774371881,29.8182351246,758.1719832220,0
779,189,33,351.2923961151,861.9935302056,203.8643790850,58.2777582778,21368.9491532970,52762.0430424448,12289.1923245333,3329.4019235724,374.5081667982,22616.5165893783,0
848,74,12,88.4743803608,113.8647715355,54.5977011494,155.9435886379,1238.5563301854,1839.2071975210,694.0774504191,2008.0885627397,39.8054739449,678.2724183573,0
631,32,15,146.4630965168,411.3003095975,84.3137254902,17.0068027211,8886.9988110824,25273.9251151006,5159.5540176855,671.0167060021,158.9555830063,10256.7504605266,1
904,123,46,136.8378653606,245.7979098072,120.3322440087,44.3834422658,8460.9827012038,14465.5676623281,7260.2920707135,3657.0883705697,139.4544524143,8901.2441802739,0
764,224,41,322.6907239288,780.8115087527,160.0091199270,52.0739064857,20027.1779277291,48164.0705825132,9647.6095878630,3810.4057610978,365.5232587955,22666.2953622927,0
3536,149,50,43.1565236733,51.9760749590,37.8191154156,42.3716633749,661.6329644845,841.0551744766,525.7530109322,659.4427683251,10.8703002725,322.9725026003,0
986,69,14,71.6613390808,72.1289718847,62.1446646291,98.6257154988,1046.7665425929,922.5416955769,1011.7899797211,1467.6595881287,29.4490043543,621.8147417807,0
779,106,38,152.4060533953,374.5710784314,79.2143246187,16.1332615852,9224.8580918076,23111.7689109958,4718.0566012716,613.4869374726,240.7872347898,15153.9994741887,0
2170,150,85,103.4820442379,174.5250073714,83.2259877635,52.6951375788,6417.0976316965,11113.0983376300,5024.5131895185,3113.6813679411,90.7176703903,6261.0598143557,0
1622,201,24,126.8108374747,108.1454295018,108.8467932218,199.6719575506,1927.5155900866,1701.8589552209,1660.5093077406,2970.8972473232,49.9634752760,990.6547762292,0
853,106,34,183.1985008456,458.6675579323,57.8397093103,33.0882352941,11128.9268507184,26965.7448912423,4412.0017666065,2009.0338943064,256.9892404427,14843.0349077140,1
745,224,31,55.3664163107,113.6169467787,32.6639621366,19.8183400168,3700.6420054782,7236.8066098989,3006.8769388336,858.2424677021,71.2736563648,5654.1309128773,0
859,61,43,321.7774331955,726.1262838469,205.7668067227,33.4392090169,19367.8126947688,44078.6706158498,12086.1105961993,1938.6568722572,460.3089779891,27792.3773241355,0
871,153,40,319.1681564878,377.1793479619,550.0879839115,30.2371375901,18950.5641061610,21878.5243764648,33204.8745633665,1768.2933786516,348.2958342846,20986.6213157042,0
729,53,12,75.4932807727,102.1677211996,60.4743083004,114.1666666667,1273.4561307340,1834.3980809997,1228.4210032964,1606.5200617284,26.5275935078,658.4814008200,0
1933,232,28,122.4659069199,98.0779945066,121.4237850119,147.8959412414,1843.0940902771,1568.6266041430,1919.0436946693,2041.6119720189,54.2635407298,1065.4204949303,0
3344,142,48,44.4170484143,52.0464976535,39.3855986280,47.7413220834,697.8654571131,829.5541469616,578.7046307967,778.3863211961,10.8773411899,330.5696915630,0
1343,167,20,133.2498743642,188.7278718483,109.3456786374,123.8843850008,2117.0048193075,3100.3322285753,1629.9827764802,1973.5335894182,35.2221953644,923.0829115163,0
969,72,37,106.2276233198,265.6279602484,34.4251336898,18.6297760211,6158.2546877328,15517.1083420868,2050.9609106161,906.6948104954,154.3391614498,9094.1143357394,1
786,216,40,324.4779276799,669.9650710487,220.6447963801,82.8239156108,19356.4564329271,39686.4047239722,13230.9858018119,5151.9787729972,364.0785000525,21690.3089366013,1
801,138,29,323.5250918549,894.8257080610,67.0999207764,44.5968791557,22441.5219562603,61195.7206629929,4120.9963105770,4501.3513347956,401.1824825213,29449.6864091006,1
1224,135,18,119.0881786226,171.7437146929,88.8034507868,144.3526418371,1922.2272841621,2751.4289570646,1319.1712582874,2464.9725507993,33.9317219769,999.8696534107,0
1144,160,40,92.0999793737,191.0947712418,52.1053293112,33.0998375682,5945.7843315735,12758.6873843722,3215.0022632650,1863.6633470834,94.1364775757,7177.6171616184,0
1265,49,70,188.7275300573,425.5147381746,89.2420760690,51.4257759284,11579.6992921603,26275.9132304547,5471.7008347726,2991.4838112536,186.0123875574,11700.0556313958,0
967,53,36,193.8233097816,515.7605466429,69.4670882914,31.4828961888,11467.2270763984,30566.4791416666,4085.6923985968,1834.4600664588,264.5081638911,15411.1168159148,0
996,63,40,227.3564353570,582.7967281587,72.2665284062,27.0060495060,13986.0559050102,35416.5198335887,4257.1493102279,2284.4985712139,282.3248358463,17111.0079820629,0
634,103,37,283.3832219313,553.5721964224,207.5503812636,89.0270881080,17042.5678496510,33273.0114362000,12339.9526045894,5514.7395081635,232.8399052886,14196.0386933502,0
2614,135,81,148.9432078475,308.4693896575,87.2338757062,62.5835280131,9129.4125813009,19019.9222597688,5071.6549944853,3998.9229959025,158.1366993236,9901.8910567539,0
1658,94,24,57.6791297087,79.2352544272,55.5542366566,54.7276493876,896.3321938378,1283.7567285046,943.2504941117,718.0842714221,15.5779442060,449.3030123711,0
1556,85,62,45.0925116418,61.9335225318,46.4577927662,29.1408452096,2565.9121599039,3624.6072707700,2701.3562564772,1500.0685604596,43.5366974389,2695.2493154343,0
7800,226,113,30.0598548000,33.0866147172,29.9589998334,27.9463783575,480.9603110196,545.1995167459,492.1027156792,418.5776279585,7.6371297909,234.1171208869,0
990,70,14,72.4093399649,89.5175550462,74.7319833234,71.0808165162,1076.4488435652,1232.7199880819,1443.4502726282,822.2884808769,22.4725238795,642.0967742995,0
976,56,15,59.8551248347,94.4958957254,49.8864267739,65.1106144223,973.0503634265,1517.1533387694,887.1913804282,1001.3315527953,16.9909878753,450.5052631265,0
4424,186,63,44.2782876967,52.2756217534,41.5698116431,43.4172584632,696.7379111311,868.6607826013,640.8449456441,650.3817962611,11.3070980312,337.0031341919,0
3185,187,47,60.2582946715,71.3945762322,53.4415433646,59.9559840624,954.2504371515,1166.5522646855,801.6563877270,958.1593548522,13.4254732639,412.7057889805,0
2064,221,29,113.3817689031,157.0370980282,104.8460524929,90.8601305107,1738.3100410442,2639.8735256210,1607.5850082548,1160.6171493726,32.2334993694,857.3836239764,0
1163,33,16,27.1284718355,41.8535907060,21.9585220981,17.5733027024,403.8212832643,655.5231201639,322.4255232295,233.5152063994,8.2606358939,225.1851486328,0
811,226,41,361.6337641117,825.2519539284,235.0791855204,52.3881347411,22167.1811129496,51122.3488193939,13988.1829843551,3096.1793130190,430.4548876323,26460.5130135709,0
1243,182,19,152.5909927947,236.7259061558,103.6145272256,117.4325450026,2470.1534758745,4344.2105387907,1294.0079154222,1772.2419734104,37.0655060705,1162.0216729716,0
727,86,37,275.2471067196,729.0906354567,71.3329562594,25.3177284427,17442.0711809441,46334.4925219105,4644.7590921448,1346.9619287770,366.0689190061,24414.5231791593,0
1436,140,48,171.1901716039,359.1021671827,114.5261437909,62.7675600522,10240.0477371649,21638.0879296963,6804.8466935794,3642.5482865077,143.6588962083,8640.7148073225,1
3651,164,55,46.1069577949,51.8619210391,44.1364264788,42.3225258668,753.3745868080,852.7198981252,719.1329984165,688.2708638822,11.3744867863,354.3656002336,0
1473,187,60,71.9817232634,119.3110808497,40.9379248776,63.2731875645,4933.6599367614,8434.0192377429,3093.2692891079,3793.0239083555,79.9860685247,6821.6242024531,0
584,113,28,82.5538334666,193.5022742040,30.4084596802,23.7507665156,4858.2052266888,11646.5467951370,1641.3069409684,1286.7619439610,87.2517629659,5316.4628717650,0
988,190,41,243.5771933751,631.5596356886,61.3454356101,56.5632160093,14523.7099069423,37844.4982270949,3783.3505595132,3060.4893885988,306.8532188843,18912.7136605029,0
642,127,32,256.1350998810,652.0833333333,113.6437908497,28.2916854481,17540.2557408225,46133.7486383442,6804.6411102567,1436.4030479489,353.5702860701,29722.6774038384,1
1002,194,32,379.4166336597,939.8503611971,222.2630718954,14.0781312525,22812.4972200136,56800.3369548895,13374.1462952283,544.2581319242,433.9151313430,26803.4110326087,1
1022,90,46,198.6189622184,436.7366946779,144.1612200436,14.9589719338,13333.2814907023,30535.8125276254,8683.7452119555,780.2867325259,204.5525065647,17737.2383188635,0
1428,132,22,94.6731354326,71.5462663287,92.8272917812,119.6458481880,1547.3190891583,1111.0800054739,1635.9428435539,1894.9344184471,49.2972561424,1030.1811593139,0
966,112,30,283.6575889704,799.7185911402,29.7849051555,84.5042903866,17342.4588500792,49430.9799234388,1624.4667671408,4825.8096041203,448.6219466547,28387.6893706340,1
249,102,16,407.0448179272,864.8926237162,220.2941176471,135.9477124183,25009.6826857105,53758.0598688277,13564.5504934000,7706.4376949037,325.5158755965,20868.8297768601,1
384,39,21,115.2007457179,335.9340958606,12.3180291153,35.7503607504,7550.3886442383,22641.5443401398,537.1294381626,1989.2883691585,159.7812710059,10610.5588509912,1
614,102,32,185.1783633657,328.2107843137,199.1852793749,46.6568627451,11237.2145550590,20027.3432493913,12119.7976306151,2688.2242406767,134.6914957718,8372.9855951155,1
1613,213,23,141.4842668637,206.5689059612,108.0279981470,130.0679346062,2208.3190177385,3500.2045680831,1403.6549951222,2036.5716354014,44.7006930101,1230.2141625451,0
1738,82,77,251.0862389036,367.3221534228,85.9093939964,310.0706188479,14604.7271911070,22302.0321878533,3560.4462756580,18535.8921974541,282.6705969242,16879.7797562880,0
7983,231,116,30.1539646722,30.7954393221,28.2149566788,32.2450234017,479.5370932540,472.5422383480,426.4471193754,552.2413192295,7.0006170538,220.4769463355,0
1599,237,90,132.2151211934,168.9119900834,182.6093080911,54.2423496259,7958.9002026573,10227.2724552596,11032.3944721379,3165.9233497232,97.5310454604,6072.2434397060,0
1827,219,26,126.9406275006,106.6687931397,126.2618097373,163.7588580624,1933.4791092341,1589.3773703772,2078.1163001706,2374.6285458087,59.7246989887,1174.2525639084,0
1376,235,20,181.0423483514,147.5542251608,168.3937410696,257.3528035490,2841.7020152252,2028.2278640122,2768.0027019699,4202.4924822312,98.3077846156,2144.4422226864,0
603,106,33,265.3646985110,662.0915032680,145.3044375645,41.7710944027,16221.8844439673,39693.2002648554,8874.6603959057,3342.1695599344,343.7159340654,20822.5146795409,0
632,95,32,174.7465129448,477.8527280477,32.6505917682,31.2108703130,10433.2659166424,29026.3000299858,1556.2413078623,1760.5830037433,233.5677023795,14495.5129909470,1
1285,103,19,79.2882580498,72.9174223254,66.2976327155,98.6497191085,1196.4234310338,1217.3285186518,924.5752417033,1447.3665327464,38.1384214541,722.9509347731,0
438,154,25,373.3652275013,687.6099798894,369.8325163399,62.6531862745,22814.4011234031,42828.6819454903,21938.9894778718,3675.5319468474,232.4826281211,14591.4918630270,1
543,130,32,247.4462365591,522.1486928105,209.5588235294,35.3758169935,15741.7034167311,33514.2273003973,12577.1938677432,2707.8594237259,203.5398220078,13358.8731472972,1
444,153,19,144.6132934355,338.9133986928,78.7123036349,16.2141779789,9525.9410685198,23056.2052789525,4698.3683343926,823.2495922142,129.1790044961,9955.6387557418,0
662,51,26,121.0540442791,316.3500816993,26.8502237852,35.0935828877,9298.7621132876,25600.6612373980,1469.6020975873,1988.3682690383,175.5353638013,17781.1408019839,1
415,106,16,395.7135076253,895.4738562092,269.4444444444,22.2222222222,23808.9841691942,53660.7488038789,16531.6358024691,1234.5679012346,359.7093549068,21403.5961463812,1
542,238,28,413.7613687450,946.7307293288,215.3231663036,79.2302106028,33078.8994418473,81448.2764934829,13054.3926599931,4734.0291720658,575.5755733944,72671.0690181417,0
625,49,32,82.1502829882,128.9460784314,102.2467320261,23.4730668059,5328.5508527621,9302.8716252296,6157.2038265197,1058.4321918132,75.0290426808,6425.0170633417,1
2053,221,29,115.8526441438,139.2484418833,102.3046413966,118.8773651675,1823.6838587716,2171.4346646418,1534.9465004722,1967.3019510644,33.6134690640,985.5771149956,0
2539,143,50,189.2631497776,426.4644838198,104.1289464138,49.0249659603,10898.4772645463,25477.5992446970,4824.1988664641,3074.7885115119,247.0045347847,14770.3386914798,1
2794,108,25,149.3632858922,92.2687003122,333.1801470588,22.6410103055,8177.8697819329,3007.2551300863,20202.0031358132,1324.3510798993,202.8792093976,12332.0751666793,0
1962,54,56,122.7254891707,213.8113412165,105.6250100661,55.5581989612,8253.1773657311,16159.3906845875,5822.9561634074,3235.6951028502,142.2615599803,14558.5834743655,1
437,134,28,314.8844105543,710.6753812636,114.5243282498,119.4535221496,24551.8434366807,58654.4705027981,6958.7255139286,8042.3342933155,308.6837251524,41233.1598905061,1
980,102,14,104.8112396336,124.0084327050,97.4958949097,119.1322011945,1548.6233438261,2090.9667797278,1640.5662762749,1301.4928114322,48.8931494042,975.1269240031,0
793,35,12,42.4409682390,63.0257851141,30.6776556777,61.9134427512,634.3928524184,1088.5429944244,483.2431000013,754.3210311084,10.3866187174,231.9067851567,0
781,97,42,140.7412361607,383.7265675501,24.7904546434,35.3591841595,8640.1500390680,23803.7708170246,1364.7972801489,2081.1358721948,215.2441422471,13674.0608036848,1
1619,172,24,112.4168181303,88.0439285317,99.6080505486,181.7175662050,1806.9047706788,1361.0782185090,1633.8537477460,2942.0408516896,56.8493860740,1219.5269467490,0
1246,84,58,125.1269367813,263.6778672688,82.9709635050,28.7319795700,7666.2442957947,16401.1477477457,5095.6717696688,1501.9133699696,157.9070364517,10091.4770810431,0
664,128,35,242.1632042910,589.6241830065,118.4051371745,40.4751294457,14978.6534179407,36668.0453994828,7033.1005236887,2596.5100959180,273.3882470578,17642.0871911318,1
447,222,24,224.3248439540,608.3046855106,79.3767507003,49.3859082094,14585.5138887726,40329.2144688319,4908.0453259735,2686.5715540190,296.6311322802,20869.7156022565,0
745,152,37,174.0379395748,351.8661850705,140.9396141498,29.3080195041,10373.9773393581,21010.8113811732,8538.9634919485,1572.1571449527,173.0929381879,10410.5653244844,0
2924,171,44,60.7857296374,74.7809098262,53.6787526262,58.2393642911,987.8006285030,1269.3318502097,791.5372655256,973.0899575241,16.0092968758,449.7571953033,0
1029,74,48,98.4889335529,135.7363569809,105.2798572320,67.5824442529,5733.6859072035,7580.0220158166,6375.0814002209,4010.4457598667,111.7099602139,6551.3655098844,1
785,143,42,62.0837824459,106.5275902064,64.4220846233,24.8530236533,3672.0650467129,6457.3350867189,3885.4954336598,1238.2977038696,69.8013287502,4277.1142919917,0
1337,234,20,185.0946927734,171.8993219603,165.1927105537,249.0411612684,2919.6925604600,2785.6624724186,2683.9835959541,3776.0470397505,85.4244242254,1647.1926631987,0
800,105,34,195.1600484676,441.3575790208,112.3811645870,31.7414017949,12944.2463758929,30080.6849467984,6955.0215486274,1797.0326322528,248.2439891369,18131.2060873289,0
756,150,36,262.5177199085,776.1193871488,38.9894419306,20.1748251748,21567.7906397017,64912.7798153327,2427.4940597805,1284.5145239376,466.6080936952,58346.1011610563,0
1297,222,63,208.7261837102,444.2092670401,129.4117647059,73.4301377556,12532.7510378073,26762.7663742512,7818.0667691913,4270.6950737602,220.9136143948,13156.5658890232,1
690,177,29,388.4064560065,1046.6717426212,126.8991514735,34.8047468146,24882.0566654595,67718.2393582598,7648.7692012866,2043.8343996609,547.3657218160,37827.7496679374,1
742,123,27,294.6137376507,771.9377334267,162.3772104996,23.1797034383,18468.0576848085,49438.8134985748,9289.1513737586,1293.2226032944,354.0195349597,21903.2316559434,0
